Date,Cash,Portfolio_Value,Total_Equity
2020-07-21,12.7,24370.47,24383.17
2020-07-22,12.7,24392.34,24405.04
2020-07-23,12.7,23911.2,23923.9
2020-07-24,12.7,23957.37,23970.07
2020-07-27,12.7,24411.78,24424.48
2020-07-28,12.7,24312.15,24324.85
2020-07-29,12.7,24659.64,24672.34
2020-07-30,12.7,24618.33,24631.03
2020-07-31,12.7,24127.47,24140.17
2020-08-03,12.7,24105.6,24118.3
2020-08-04,12.7,23716.8,23729.5
2020-08-05,12.7,24054.57,24067.27
2020-08-06,12.7,24341.31,24354.01
2020-08-07,12.7,24015.69,24028.39
2020-08-10,12.7,24188.22,24200.92
2020-08-11,12.7,23862.6,23875.3
2020-08-12,12.7,23894.19,23906.89
2020-08-13,12.7,23451.93,23464.63
2020-08-14,12.7,23685.21,23697.91
2020-08-17,12.7,23286.69,23299.39
2020-08-18,12.7,23874.75,23887.45
2020-08-19,12.7,23571.0,23583.7
2020-08-20,12.7,23733.81,23746.51
2020-08-21,12.7,23716.8,23729.5
2020-08-24,12.7,23935.5,23948.2
2020-08-25,12.7,23899.05,23911.75
2020-08-26,12.7,23481.09,23493.79
2020-08-27,12.7,23539.41,23552.11
2020-08-28,12.7,23886.9,23899.6
2020-08-31,12.7,23255.1,23267.8
2020-09-01,12.7,23899.05,23911.75
2020-09-02,12.7,23850.45,23863.15
2020-09-03,12.7,23561.28,23573.98
2020-09-04,12.7,23673.06,23685.76
2020-09-08,12.7,23522.4,23535.1
2020-09-09,12.7,23692.5,23705.2
2020-09-10,12.7,23094.72,23107.42
2020-09-11,12.7,22958.64,22971.34
2020-09-14,12.7,23451.93,23464.63
2020-09-15,12.7,23439.78,23452.48
2020-09-16,12.7,23306.13,23318.83
2020-09-17,12.7,23417.91,23430.61
2020-09-18,12.7,22997.52,23010.22
2020-09-21,12.7,22696.2,22708.9
2020-09-22,12.7,22761.81,22774.51
2020-09-23,12.7,22397.31,22410.01
2020-09-24,12.7,22671.9,22684.6
2020-09-25,12.7,22720.5,22733.2
2020-09-28,12.7,22161.6,22174.3
2020-09-29,12.7,21850.56,21863.26
2020-09-30,12.7,22125.15,22137.85
2020-10-01,12.7,22334.13,22346.83
2020-10-02,12.7,21896.73,21909.43
2020-10-05,12.7,22511.52,22524.22
2020-10-06,12.7,22363.29,22375.99
2020-10-07,12.7,22343.85,22356.55
2020-10-08,12.7,22907.61,22920.31
2020-10-09,12.7,22756.95,22769.65
2020-10-13,12.7,23036.4,23049.1
2020-10-14,12.7,23228.37,23241.07
2020-10-15,12.7,23167.62,23180.32
2020-10-16,12.7,22973.22,22985.92
2020-10-19,12.7,23085.0,23097.7
2020-10-20,12.7,23490.81,23503.51
2020-10-21,12.7,23485.95,23498.65
2020-10-22,12.7,23828.58,23841.28
2020-10-23,12.7,23677.92,23690.62
2020-10-26,12.7,23626.89,23639.59
2020-10-27,12.7,23250.24,23262.94
2020-10-28,12.7,22249.08,22261.78
2020-10-29,12.7,22550.4,22563.1
2020-10-30,12.7,22030.38,22043.08
2020-11-03,12.7,22419.18,22431.88
2020-11-04,12.7,22880.88,22893.58
2020-11-05,12.7,23558.85,23571.55
2020-11-06,12.7,23617.17,23629.87
2020-11-09,12.7,24178.5,24191.2
2020-11-10,12.7,24543.0,24555.7
2020-11-11,12.7,24516.27,24528.97
2020-11-12,12.7,23984.1,23996.8
2020-11-13,12.7,24501.69,24514.39
2020-11-16,12.7,24909.93,24922.63
2020-11-17,12.7,25053.3,25066.0
2020-11-18,12.7,24766.56,24779.26
2020-11-19,12.7,24963.39,24976.09
2020-11-23,12.7,25097.04,25109.74
2020-11-24,12.7,25689.96,25702.66
2020-11-25,12.7,25716.69,25729.39
2020-11-26,12.7,25762.86,25775.56
2020-11-27,12.7,25864.92,25877.62
2020-11-30,12.7,25515.0,25527.7
2020-12-01,12.7,26013.15,26025.85
2020-12-02,12.7,26183.25,26195.95
2020-12-03,12.7,26280.45,26293.15
2020-12-04,12.7,26591.49,26604.19
2020-12-07,12.7,26562.33,26575.03
2020-12-08,12.7,26593.92,26606.62
2020-12-09,12.7,26431.11,26443.81
2020-12-10,12.7,26900.1,26912.8
2020-12-11,12.7,26921.97,26934.67
2020-12-14,12.7,26778.6,26791.3
2020-12-15,12.7,27157.68,27170.38
2020-12-16,12.7,27544.05,27556.75
2020-12-17,12.7,27699.57,27712.27
2020-12-18,12.7,27580.5,27593.2
2020-12-21,12.7,27077.49,27090.19
2020-12-22,12.7,27276.75,27289.45
2020-12-23,12.7,27493.02,27505.72
2020-12-28,12.7,27872.1,27884.8
2020-12-29,12.7,27937.71,27950.41
2020-12-30,12.7,28078.65,28091.35
2021-01-04,12.7,27723.87,27736.57
2021-01-05,12.7,27869.67,27882.37
2021-01-06,12.7,27835.65,27848.35
2021-01-07,12.7,28763.91,28776.61
2021-01-08,12.7,29257.2,29269.9
2021-01-11,12.7,28824.66,28837.36
2021-01-12,12.7,29026.35,29039.05
2021-01-13,12.7,28518.48,28531.18
2021-01-14,12.7,28839.24,28851.94
2021-01-15,12.7,28134.54,28147.24
2021-01-18,12.7,28319.22,28331.92
2021-01-19,12.7,28188.0,28200.7
2021-01-20,12.7,28003.32,28016.02
2021-01-21,12.7,27655.83,27668.53
2021-01-22,12.7,27502.74,27515.44
2021-01-26,12.7,27235.44,27248.14
2021-01-27,12.7,26963.28,26975.98
2021-01-28,12.7,27825.93,27838.63
2021-01-29,12.7,26866.08,26878.78
2021-02-01,12.7,27473.58,27486.28
2021-02-02,12.7,27665.55,27678.25
2021-02-03,12.7,28005.75,28018.45
2021-02-04,12.7,27852.66,27865.36
2021-02-05,12.7,28144.26,28156.96
2021-02-08,12.7,27988.74,28001.44
2021-02-09,12.7,27923.13,27935.83
2021-02-10,12.7,27682.56,27695.26
2021-02-11,12.7,27920.7,27933.4
2021-02-12,12.7,27957.15,27969.85
2021-02-17,12.7,28153.98,28166.68
2021-02-18,12.7,27850.23,27862.93
2021-02-19,12.7,27658.26,27670.96
2021-02-22,12.7,26304.75,26317.45
2021-02-23,12.7,26914.68,26927.38
2021-02-24,12.7,27084.78,27097.48
2021-02-25,12.7,26129.79,26142.49
2021-02-26,12.7,25658.37,25671.07
2021-03-01,12.7,25743.42,25756.12
2021-03-02,12.7,26122.5,26135.2
2021-03-03,12.7,26039.88,26052.58
2021-03-04,12.7,26382.51,26395.21
2021-03-05,12.7,26955.99,26968.69
2021-03-08,12.7,25600.05,25612.75
2021-03-09,12.7,26047.17,26059.87
2021-03-10,12.7,26397.09,26409.79
2021-03-11,12.7,26839.35,26852.05
2021-03-12,12.7,26652.24,26664.94
2021-03-15,12.7,26890.38,26903.08
2021-03-16,12.7,26654.67,26667.37
2021-03-17,12.7,27228.15,27240.85
2021-03-18,12.7,26851.5,26864.2
2021-03-19,12.7,27143.1,27155.8
2021-03-22,12.7,26897.67,26910.37
2021-03-23,12.7,26491.86,26504.56
2021-03-24,12.7,26212.41,26225.11
2021-03-25,12.7,26579.34,26592.04
2021-03-26,12.7,26798.04,26810.74
2021-03-29,12.7,26963.28,26975.98
2021-03-30,12.7,27320.49,27333.19
2021-03-31,12.7,27220.86,27233.56
2021-04-01,12.7,26895.24,26907.94
2021-04-05,12.7,27510.03,27522.73
2021-04-06,12.7,27524.61,27537.31
2021-04-07,12.7,27502.74,27515.44
2021-04-08,12.7,27641.25,27653.95
2021-04-09,12.7,27461.43,27474.13
2021-04-12,12.7,27799.2,27811.9
2021-04-13,12.7,27864.81,27877.51
2021-04-14,12.7,28090.8,28103.5
2021-04-15,12.7,28236.6,28249.3
2021-04-16,12.7,28299.78,28312.48
2021-04-19,12.7,28270.62,28283.32
2021-04-20,12.7,28061.64,28074.34
2021-04-22,12.7,27932.85,27945.55
2021-04-23,12.7,28180.71,28193.41
2021-04-26,12.7,28175.85,28188.55
2021-04-27,12.7,27891.54,27904.24
2021-04-28,12.7,28285.2,28297.9
2021-04-29,12.7,28022.76,28035.46
2021-04-30,12.7,27799.2,27811.9
2021-05-03,12.7,27867.24,27879.94
2021-05-04,12.7,27524.61,27537.31
2021-05-05,12.7,27981.45,27994.15
2021-05-06,12.7,28049.49,28062.19
2021-05-07,12.7,28542.78,28555.48
2021-05-10,12.7,28465.02,28477.72
2021-05-11,12.7,28705.59,28718.29
2021-05-12,12.7,28010.61,28023.31
2021-05-13,12.7,28197.72,28210.42
2021-05-14,12.7,28489.32,28502.02
2021-05-17,12.7,28749.33,28762.03
2021-05-18,12.7,28720.17,28732.87
2021-05-19,12.7,28676.43,28689.13
2021-05-20,12.7,28652.13,28664.83
2021-05-21,12.7,28676.43,28689.13
2021-05-24,12.7,28980.18,28992.88
2021-05-25,12.7,28771.2,28783.9
2021-05-26,12.7,28975.32,28988.02
2021-05-27,12.7,29060.37,29073.07
2021-05-28,12.7,29334.96,29347.66
2021-05-31,12.7,29463.75,29476.45
2021-06-01,12.7,29969.19,29981.89
2021-06-02,12.7,30294.81,30307.51
2021-06-04,12.7,30387.15,30399.85
2021-06-07,12.7,30557.25,30569.95
2021-06-08,12.7,30304.53,30317.23
2021-06-09,12.7,30345.84,30358.54
2021-06-10,12.7,30375.0,30387.7
2021-06-11,12.7,30248.64,30261.34
2021-06-14,12.7,30411.45,30424.15
2021-06-15,12.7,30418.74,30431.44
2021-06-16,12.7,30185.46,30198.16
2021-06-17,12.7,29910.87,29923.57
2021-06-18,12.7,29954.61,29967.31
2021-06-21,12.7,30187.89,30200.59
2021-06-22,12.7,30088.26,30100.96
2021-06-23,12.7,30020.22,30032.92
2021-06-24,12.7,30260.79,30273.49
2021-06-25,12.7,29767.5,29780.2
2021-06-28,12.7,29755.35,29768.05
2021-06-29,12.7,29721.33,29734.03
2021-06-30,12.7,29599.83,29612.53
2021-07-01,12.7,29337.39,29350.09
2021-07-02,12.7,29835.54,29848.24
2021-07-05,12.7,29638.71,29651.41
2021-07-06,12.7,29232.9,29245.6
2021-07-07,12.7,29714.04,29726.74
2021-07-08,12.7,29320.38,29333.08
2021-07-12,12.7,29835.54,29848.24
2021-07-13,12.7,29966.76,29979.46
2021-07-14,12.7,30003.21,30015.91
2021-07-15,12.7,29840.4,29853.1
2021-07-16,12.7,29439.45,29452.15
2021-07-19,12.7,29096.82,29109.52
2021-07-20,12.7,29305.8,29318.5
2021-07-21,12.7,29432.16,29444.86
2021-07-22,12.7,29507.49,29520.19
2021-07-23,12.7,29208.6,29221.3
2021-07-26,12.7,29451.6,29464.3
2021-07-27,12.7,29101.68,29114.38
2021-07-28,12.7,29512.35,29525.05
2021-07-29,12.7,29337.39,29350.09
2021-07-30,12.7,28457.73,28470.43
2021-08-02,12.7,28576.8,28589.5
2021-08-03,12.7,28851.39,28864.09
2021-08-04,12.7,28421.28,28433.98
2021-08-05,12.7,28413.99,28426.69
2021-08-06,12.7,28732.32,28745.02
2021-08-09,12.7,28708.02,28720.72
2021-08-10,12.7,28569.51,28582.21
2021-08-11,12.7,28494.18,28506.88
2021-08-12,12.7,28156.41,28169.11
2021-08-13,12.7,28324.08,28336.78
2021-08-16,12.7,27855.09,27867.79
2021-08-17,12.7,27544.05,27556.75
2021-08-18,12.7,27230.58,27243.28
2021-08-19,12.7,27422.55,27435.25
2021-08-20,12.7,27616.95,27629.65
2021-08-23,12.7,27471.15,27483.85
2021-08-24,12.7,28098.09,28110.79
2021-08-25,12.7,28222.02,28234.72
2021-08-26,12.7,27719.01,27731.71
2021-08-27,12.7,28231.74,28244.44
2021-08-30,12.7,27964.44,27977.14
2021-08-31,12.7,27721.44,27734.14
2021-09-01,12.7,27896.4,27909.1
2021-09-02,12.7,27252.45,27265.15
2021-09-03,12.7,27237.87,27250.57
2021-09-06,12.7,27575.64,27588.34
2021-09-08,12.7,26506.44,26519.14
2021-09-09,12.7,27096.93,27109.63
2021-09-10,12.7,26700.84,26713.54
2021-09-13,12.7,27245.16,27257.86
2021-09-14,12.7,27143.1,27155.8
2021-09-15,12.7,26895.24,26907.94
2021-09-16,12.7,26593.92,26606.62
2021-09-17,12.7,26035.02,26047.72
2021-09-20,12.7,25459.11,25471.81
2021-09-21,12.7,25702.11,25714.81
2021-09-22,12.7,26241.57,26254.27
2021-09-23,12.7,26632.8,26645.5
2021-09-24,12.7,26494.29,26506.99
2021-09-27,12.7,26460.27,26472.97
2021-09-28,12.7,25716.69,25729.39
2021-09-29,12.7,25959.69,25972.39
2021-09-30,12.7,25877.07,25889.77
2021-10-01,12.7,26363.07,26375.77
2021-10-04,12.7,25801.74,25814.44
2021-10-05,12.7,25787.16,25799.86
2021-10-06,12.7,25847.91,25860.61
2021-10-07,12.7,25860.06,25872.76
2021-10-08,12.7,26338.77,26351.47
2021-10-11,12.7,26183.25,26195.95
2021-10-13,12.7,26545.32,26558.02
2021-10-14,12.7,26479.71,26492.41
2021-10-15,12.7,26783.46,26796.16
2021-10-18,12.7,26717.85,26730.55
2021-10-19,12.7,25952.4,25965.1
2021-10-20,12.7,25855.2,25867.9
2021-10-21,12.7,25186.95,25199.65
2021-10-22,12.7,24866.19,24878.89
2021-10-25,12.7,25405.65,25418.35
2021-10-26,12.7,24846.75,24859.45
2021-10-27,12.7,24883.2,24895.9
2021-10-28,12.7,24448.23,24460.93
2021-10-29,12.7,24222.24,24234.94
2021-11-01,12.7,24669.36,24682.06
2021-11-03,12.7,24786.0,24798.7
2021-11-04,12.7,24214.95,24227.65
2021-11-05,12.7,24496.83,24509.53
2021-11-08,12.7,24501.69,24514.39
2021-11-09,12.7,24637.77,24650.47
2021-11-10,12.7,24790.86,24803.56
2021-11-11,12.7,25162.65,25175.35
2021-11-12,12.7,24817.59,24830.29
2021-11-16,12.7,24387.48,24400.18
2021-11-17,12.7,24117.75,24130.45
2021-11-18,12.7,23971.95,23984.65
2021-11-19,12.7,24122.61,24135.31
2021-11-22,12.7,23872.32,23885.02
2021-11-23,12.7,24300.0,24312.7
2021-11-24,12.7,24460.38,24473.08
2021-11-25,12.7,24783.57,24796.27
2021-11-26,12.7,23908.77,23921.47
2021-11-29,12.7,24059.43,24072.13
2021-11-30,12.7,23899.05,23911.75
2021-12-01,12.7,23592.87,23605.57
2021-12-02,12.7,24404.49,24417.19
2021-12-03,12.7,24620.76,24633.46
2021-12-06,12.7,25029.0,25041.7
2021-12-07,12.7,25182.09,25194.79
2021-12-08,12.7,25320.6,25333.3
2021-12-09,12.7,24820.02,24832.72
2021-12-10,12.7,25206.39,25219.09
2021-12-13,12.7,25150.5,25163.2
2021-12-14,12.7,24956.1,24968.8
2021-12-15,12.7,25077.6,25090.3
2021-12-16,12.7,25371.63,25384.33
2021-12-17,12.7,25053.3,25066.0
2021-12-20,12.7,24543.0,24555.7
2021-12-21,12.7,24645.06,24657.76
2021-12-22,12.7,24647.49,24660.19
2021-12-23,12.7,24506.55,24519.25
2021-12-27,12.7,24688.8,24701.5
2021-12-28,12.7,24557.58,24570.28
2021-12-29,12.7,24360.75,24373.45
2021-12-30,12.7,24494.4,24507.1
2022-01-03,12.7,24282.99,24295.69
2022-01-04,12.7,24195.51,24208.21
2022-01-05,12.7,23595.3,23608.0
2022-01-06,12.7,23777.55,23790.25
2022-01-07,12.7,23984.1,23996.8
2022-01-10,12.7,23918.49,23931.19
2022-01-11,12.7,24324.3,24337.0
2022-01-12,12.7,24764.13,24776.83
2022-01-13,12.7,24676.65,24689.35
2022-01-14,12.7,25046.01,25058.71
2022-01-17,12.7,24926.94,24939.64
2022-01-18,12.7,24992.55,25005.25
2022-01-19,12.7,25284.15,25296.85
2022-01-20,12.7,25490.7,25503.4
2022-01-21,12.7,25442.1,25454.8
2022-01-24,12.7,25291.44,25304.14
2022-01-25,12.7,25838.19,25850.89
2022-01-26,12.7,26095.77,26108.47
2022-01-27,12.7,26292.6,26305.3
2022-01-28,12.7,26141.94,26154.64
2022-01-31,12.7,26239.14,26251.84
2022-02-01,12.7,26523.45,26536.15
2022-02-02,12.7,26168.67,26181.37
2022-02-03,12.7,26188.11,26200.81
2022-02-04,12.7,26248.86,26261.56
2022-02-07,12.7,26175.96,26188.66
2022-02-08,12.7,26299.89,26312.59
2022-02-09,12.7,26299.89,26312.59
2022-02-10,12.7,26511.3,26524.0
2022-02-11,12.7,26562.33,26575.03
2022-02-14,12.7,26613.36,26626.06
2022-02-15,12.7,26875.8,26888.5
2022-02-16,12.7,26917.11,26929.81
2022-02-17,12.7,26511.3,26524.0
2022-02-18,12.7,26367.93,26380.63
2022-02-21,12.7,26110.35,26123.05
2022-02-22,12.7,26487.0,26499.7
2022-02-23,12.7,26141.94,26154.64
2022-02-24,12.7,26117.64,26130.34
2022-02-25,12.7,26462.7,26475.4
2022-03-02,12.7,26997.3,27010.0
2022-03-03,12.7,26977.86,26990.56
2022-03-04,12.7,26827.2,26839.9
2022-03-07,12.7,26027.73,26040.43
2022-03-08,12.7,26071.47,26084.17
2022-03-09,12.7,26676.54,26689.24
2022-03-10,12.7,26584.2,26596.9
2022-03-11,12.7,26171.1,26183.8
2022-03-14,12.7,25767.72,25780.42
2022-03-15,12.7,25490.7,25503.4
2022-03-16,12.7,26035.02,26047.72
2022-03-17,12.7,26414.1,26426.8
2022-03-18,12.7,26907.39,26920.09
2022-03-21,12.7,27201.42,27214.12
2022-03-22,12.7,27483.3,27496.0
2022-03-23,12.7,27434.7,27447.4
2022-03-24,12.7,27881.82,27894.52
2022-03-25,12.7,27884.25,27896.95
2022-03-28,12.7,27825.93,27838.63
2022-03-29,12.7,28127.25,28139.95
2022-03-30,12.7,28163.7,28176.4
2022-03-31,12.7,28090.8,28103.5
2022-04-01,12.7,28479.6,28492.3
2022-04-04,12.7,28382.4,28395.1
2022-04-05,12.7,27825.93,27838.63
2022-04-06,12.7,27670.41,27683.11
2022-04-07,12.7,27859.95,27872.65
2022-04-08,12.7,27697.14,27709.84
2022-04-11,12.7,27354.51,27367.21
2022-04-12,12.7,27160.11,27172.81
2022-04-13,12.7,27342.36,27355.06
2022-04-14,12.7,27130.95,27143.65
2022-04-18,12.7,27084.78,27097.48
2022-04-19,12.7,26953.56,26966.26
2022-04-20,12.7,26742.15,26754.85
2022-04-22,12.7,25940.25,25952.95
2022-04-25,12.7,25942.68,25955.38
2022-04-26,12.7,25340.04,25352.74
2022-04-27,12.7,25641.36,25654.06
2022-04-28,12.7,25723.98,25736.68
2022-04-29,12.7,25126.2,25138.9
2022-05-02,12.7,24960.96,24973.66
2022-05-03,12.7,24960.96,24973.66
2022-05-04,12.7,25364.34,25377.04
2022-05-05,12.7,24664.5,24677.2
2022-05-06,12.7,24598.89,24611.59
2022-05-09,12.7,24222.24,24234.94
2022-05-10,12.7,24115.32,24128.02
2022-05-11,12.7,24455.52,24468.22
2022-05-12,12.7,24795.72,24808.42
2022-05-13,12.7,25099.47,25112.17
2022-05-16,12.7,25369.2,25381.9
2022-05-17,12.7,25490.7,25503.4
2022-05-18,12.7,24837.03,24849.73
2022-05-19,12.7,25048.44,25061.14
2022-05-20,12.7,25432.38,25445.08
2022-05-23,12.7,25942.68,25955.38
2022-05-24,12.7,25913.52,25926.22
2022-05-25,12.7,25918.38,25931.08
2022-05-26,12.7,26248.86,26261.56
2022-05-27,12.7,26219.7,26232.4
2022-05-30,12.7,25981.56,25994.26
2022-05-31,12.7,26044.74,26057.44
2022-06-01,12.7,26115.21,26127.91
2022-06-02,12.7,26348.49,26361.19
2022-06-03,12.7,26117.64,26130.34
2022-06-06,12.7,25860.06,25872.76
2022-06-07,12.7,25794.45,25807.15
2022-06-08,12.7,25417.8,25430.5
2022-06-09,12.7,25194.24,25206.94
2022-06-10,12.7,24742.26,24754.96
2022-06-13,12.7,24086.16,24098.86
2022-06-14,12.7,23901.48,23914.18
2022-06-15,12.7,24149.34,24162.04
2022-06-17,12.7,23379.03,23391.73
2022-06-20,12.7,23398.47,23411.17
2022-06-21,12.7,23425.2,23437.9
2022-06-22,12.7,23335.29,23347.99
2022-06-23,12.7,23002.38,23015.08
2022-06-24,12.7,23199.21,23211.91
2022-06-27,12.7,23656.05,23668.75
2022-06-28,12.7,23583.15,23595.85
2022-06-29,12.7,23328.0,23340.7
2022-06-30,12.7,23085.0,23097.7
2022-07-01,12.7,23238.09,23250.79
2022-07-04,12.7,23133.6,23146.3
2022-07-05,12.7,23036.4,23049.1
2022-07-06,12.7,23187.06,23199.76
2022-07-07,12.7,23663.34,23676.04
2022-07-08,12.7,23541.84,23554.54
2022-07-11,12.7,23036.4,23049.1
2022-07-12,12.7,23060.7,23073.4
2022-07-13,12.7,22965.93,22978.63
2022-07-14,12.7,22489.65,22502.35
2022-07-15,12.7,22664.61,22677.31
2022-07-18,12.7,22688.91,22701.61
2022-07-19,12.7,23012.1,23024.8
2022-07-20,12.7,23072.85,23085.55
2022-07-21,12.7,23170.05,23182.75
2022-07-22,12.7,23187.06,23199.76
2022-07-25,12.7,23510.25,23522.95
2022-07-26,12.7,23364.45,23377.15
2022-07-27,12.7,23772.69,23785.39
2022-07-28,12.7,24081.3,24094.0
2022-07-29,12.7,24129.9,24142.6
2022-08-01,12.7,23950.08,23962.78
2022-08-02,12.7,24185.79,24198.49
2022-08-03,12.7,24348.6,24361.3
2022-08-04,12.7,24902.64,24915.34
2022-08-05,12.7,24965.82,24978.52
2022-08-08,12.7,25466.4,25479.1
2022-08-09,12.7,25527.15,25539.85
2022-08-10,12.7,25894.08,25906.78
2022-08-11,12.7,25728.84,25741.54
2022-08-12,12.7,26399.52,26412.22
2022-08-15,12.7,26479.71,26492.41
2022-08-16,12.7,26671.68,26684.38
2022-08-17,12.7,26727.57,26740.27
2022-08-18,12.7,26715.42,26728.12
2022-08-19,12.7,26129.79,26142.49
2022-08-22,12.7,25935.39,25948.09
2022-08-23,12.7,26511.3,26524.0
2022-08-24,12.7,26530.74,26543.44
2022-08-25,12.7,26632.8,26645.5
2022-08-26,12.7,26331.48,26344.18
2022-08-29,12.7,26341.2,26353.9
2022-08-30,12.7,25855.2,25867.9
2022-08-31,12.7,25716.69,25729.39
2022-09-01,12.7,25901.37,25914.07
2022-09-02,12.7,26022.87,26035.57
2022-09-05,12.7,26353.35,26366.05
2022-09-06,12.7,25745.85,25758.55
2022-09-08,12.7,25801.74,25814.44
2022-09-09,12.7,26341.2,26353.9
2022-09-12,12.7,26620.65,26633.35
2022-09-13,12.7,25996.14,26008.84
2022-09-14,12.7,25940.25,25952.95
2022-09-15,12.7,25784.73,25797.43
2022-09-16,12.7,25660.8,25673.5
2022-09-19,12.7,26297.46,26310.16
2022-09-20,12.7,26450.55,26463.25
2022-09-21,12.7,26282.88,26295.58
2022-09-22,12.7,26761.59,26774.29
2022-09-23,12.7,26205.12,26217.82
2022-09-26,12.7,25546.59,25559.29
2022-09-27,12.7,25437.24,25449.94
2022-09-28,12.7,25471.26,25483.96
2022-09-29,12.7,25223.4,25236.1
2022-09-30,12.7,25869.78,25882.48
2022-10-03,12.7,27313.2,27325.9
2022-10-04,12.7,27301.05,27313.75
2022-10-05,12.7,27536.76,27549.46
2022-10-06,12.7,27573.21,27585.91
2022-10-07,12.7,27405.54,27418.24
2022-10-10,12.7,27235.44,27248.14
